doy_local,T_soil_5,T_soil_15,T_soil_25,swc_10,swc_30
98.28125,14.53,14.9375,15.07,27.34,31.585
98.29166667,14.505,14.91,15.05,29.73,31.585
98.30208333,14.5075,14.8975,15.0425,35.9475,31.5875
98.3125,14.51,14.885,15.035,42.165,31.59
98.32291667,14.515,14.8675,15.0225,47.83,31.5925
98.33333333,14.52,14.85,15.01,53.495,31.595
98.34375,14.5425,14.8425,15,48.58,31.6
98.35416667,14.565,14.835,14.99,43.665,31.605
98.36458333,14.59,14.8425,14.9925,52.7625,31.6075
98.375,14.615,14.85,14.995,61.86,31.61
98.38541667,14.6375,14.85,14.9925,62.9125,31.6125
98.39583333,14.66,14.85,14.99,63.965,31.615
98.40625,14.6875,14.8525,14.99,61.52,31.62
98.41666667,14.715,14.855,14.99,59.075,31.625
98.42708333,14.7325,14.8575,14.99,57.7525,31.6275
98.4375,14.75,14.86,14.99,56.43,31.63
98.44791667,14.7675,14.8675,14.9875,55.985,31.6325
98.45833333,14.785,14.875,14.985,55.54,31.635
98.46875,14.7925,14.875,14.98,54.9175,31.6375
98.47916667,14.8,14.875,14.975,54.295,31.64
98.48958333,14.805,14.8775,14.9675,52.3975,31.645
98.5,14.81,14.88,14.96,50.5,31.65
98.51041667,14.8225,14.8875,14.965,46.595,31.65
98.52083333,14.835,14.895,14.97,42.69,31.65
98.53125,14.84,14.8975,14.9675,41.53,31.6525
98.54166667,14.845,14.9,14.965,40.37,31.655
98.55208333,14.8475,14.9,14.965,40.1,31.655
98.5625,14.85,14.9,14.965,39.83,31.655
98.57291667,14.865,14.905,14.965,39.9225,31.6575
98.58333333,14.88,14.91,14.965,40.015,31.66
98.59375,14.895,14.915,14.9625,39.545,31.6625
98.60416667,14.91,14.92,14.96,39.075,31.665
98.61458333,14.9275,14.9225,14.955,39.7375,31.665
98.625,14.945,14.925,14.95,40.4,31.665
98.63541667,14.985,14.9375,14.9575,40.2075,31.665
98.64583333,15.025,14.95,14.965,40.015,31.665
98.65625,15.065,14.96,14.9675,39.9775,31.6675
98.66666667,15.105,14.97,14.97,39.94,31.67
98.67708333,15.1475,14.985,14.975,39.3075,31.67
98.6875,15.19,15,14.98,38.675,31.67
98.69791667,15.2275,15.015,14.9825,38.1875,31.6725
98.70833333,15.265,15.03,14.985,37.7,31.675
98.71875,15.29,15.0475,14.9875,38.645,31.675
98.72916667,15.315,15.065,14.99,39.59,31.675
98.73958333,15.345,15.0775,14.9925,40.0025,31.6775
98.75,15.375,15.09,14.995,40.415,31.68
98.76041667,15.41,15.1075,15.0025,40.2925,31.675
98.77083333,15.445,15.125,15.01,40.17,31.67
98.78125,15.495,15.1425,15.0175,39.59,31.67
98.79166667,15.545,15.16,15.025,39.01,31.67
98.80208333,15.5975,15.1775,15.025,38.015,31.665
98.8125,15.65,15.195,15.025,37.02,31.66
98.82291667,15.7425,15.2125,15.025,33.62,31.645
98.83333333,15.835,15.23,15.025,30.22,31.63
98.84375,15.9875,15.2475,15.0225,28.925,31.62
98.85416667,16.14,15.265,15.02,27.63,31.61
98.86458333,16.2775,15.31,15.03,27.91,31.605
98.875,16.415,15.355,15.04,28.19,31.6
98.88541667,16.51,15.4125,15.0575,28.17,31.595
98.89583333,16.605,15.47,15.075,28.15,31.59
98.90625,16.68,15.5225,15.095,27.9975,31.5875
98.91666667,16.755,15.575,15.115,27.845,31.585
98.92708333,16.8,15.625,15.14,27.305,31.585
98.9375,16.845,15.675,15.165,26.765,31.585
98.94791667,16.8675,15.73,15.2,26.34,31.585
98.95833333,16.89,15.785,15.235,25.915,31.585
98.96875,16.8825,15.835,15.27,24.385,31.585
98.97916667,16.875,15.885,15.305,22.855,31.585
98.98958333,16.83,15.935,15.3525,21.7375,31.5825
99,16.785,15.985,15.4,20.62,31.58
99.01041667,16.685,15.995,15.4275,19.135,31.5775
99.02083333,16.585,16.005,15.455,17.65,31.575
99.03125,16.445,15.975,15.4525,16.68,31.5775
99.04166667,16.305,15.945,15.45,15.71,31.58
99.05208333,16.1525,15.905,15.4375,15.55,31.58
99.0625,16,15.865,15.425,15.39,31.58
99.07291667,15.84,15.83,15.4275,15.1725,31.58
99.08333333,15.68,15.795,15.43,14.955,31.58
99.09375,15.53,15.745,15.4275,14.595,31.5775
99.10416667,15.38,15.695,15.425,14.235,31.575
99.11458333,15.235,15.64,15.4175,14.2225,31.5725
99.125,15.09,15.585,15.41,14.21,31.57
99.13541667,14.96,15.52,15.395,14.3225,31.57
99.14583333,14.83,15.455,15.38,14.435,31.57
99.15625,14.705,15.39,15.3625,14.5875,31.565
99.16666667,14.58,15.325,15.345,14.74,31.56
99.17708333,14.47,15.2625,15.325,14.89,31.56
99.1875,14.36,15.2,15.305,15.04,31.56
99.19791667,14.26,15.14,15.285,14.6275,31.555
99.20833333,14.16,15.08,15.265,14.215,31.55
99.21875,14.0475,15.0125,15.24,14.2325,31.545
99.22916667,13.935,14.945,15.215,14.25,31.54
99.23958333,13.83,14.8825,15.1875,14.0925,31.54
99.25,13.725,14.82,15.16,13.935,31.54
99.26041667,13.6175,14.76,15.135,13.6675,31.535
99.27083333,13.51,14.7,15.11,13.4,31.53
99.28125,13.3825,14.6275,15.075,13.205,31.525
99.29166667,13.255,14.555,15.04,13.01,31.52
99.30208333,13.1325,14.485,15.0025,13.0075,31.515
99.3125,13.01,14.415,14.965,13.005,31.51
99.32291667,12.885,14.3375,14.925,13.145,31.505
99.33333333,12.76,14.26,14.885,13.285,31.5
99.34375,12.65,14.1925,14.8525,13.3375,31.495
99.35416667,12.54,14.125,14.82,13.39,31.49
99.36458333,12.445,14.06,14.7875,13.1275,31.4825
99.375,12.35,13.995,14.755,12.865,31.475
99.38541667,12.25,13.9225,14.715,12.6835,31.47
99.39583333,12.15,13.85,14.675,12.502,31.465
99.40625,12.0475,13.7775,14.635,12.5065,31.46
99.41666667,11.945,13.705,14.595,12.511,31.455
99.42708333,11.8625,13.64,14.555,12.5615,31.4525
99.4375,11.78,13.575,14.515,12.612,31.45
99.44791667,11.7075,13.5075,14.4725,12.59175,31.445
99.45833333,11.635,13.44,14.43,12.5715,31.44
99.46875,11.5775,13.3775,14.39,12.54575,31.435
99.47916667,11.52,13.315,14.35,12.52,31.43
99.48958333,11.4575,13.255,14.31,12.47975,31.4275
99.5,11.395,13.195,14.27,12.4395,31.425
99.51041667,11.32,13.13,14.215,12.93975,31.42
99.52083333,11.245,13.065,14.16,13.44,31.415
99.53125,11.175,13.0025,14.1,16.05,31.4125
99.54166667,11.105,12.94,14.04,18.66,31.41
99.55208333,11.1025,12.91,14.025,19.2325,31.405
99.5625,11.1,12.88,14.01,19.805,31.4
99.57291667,11.1375,12.855,13.9875,20.365,31.3975
99.58333333,11.175,12.83,13.965,20.925,31.395
99.59375,11.2675,12.82,13.9475,20.9825,31.39
99.60416667,11.36,12.81,13.93,21.04,31.385
99.61458333,11.455,12.8075,13.9175,20.59,31.3675
