doy_loc	ChmTair_C_Avg	ChmTair_C_Std	soil_moist_Avg	soil_moist_Std	soil_temp_C_Avg	soil_temp_C_Std	sample	comment
103.049	10.420	0.019	0.23	0	13.100	0.005	ch1	reg
103.132	11.270	0.01	0.228	0.002	13.080	0.038	ch1	reg
103.215	11.030	0	0.226	0.001	12.800	0.000	ch1	reg
103.299	11.300	0.014	0.224	0	12.930	0.095	ch1	reg
103.382	13.150	0.01	0.222	0.002	13.590	0.122	ch1	reg
103.465	17.410	0.011	0.22	0.001	15.760	0.378	ch1	reg
103.549	20.140	0.021	0.215	0.002	17.290	0.052	ch1	reg
103.632	23.410	0.064	0.209	0.002	19.360	0.254	ch1	reg
103.715	19.270	0.014	0.206	0.002	18.000	0.000	ch1	reg
103.799	18.510	0.02	0.203	0.002	17.730	0.089	ch1	reg
103.882	17.110	0.011	0.202	0.001	17.000	0.011	ch1	reg
103.965	16.780	0.013	0.198	0.001	16.750	0.050	ch1	reg
104.049	15.880	0.01	0.198	0	16.400	0.100	ch1	reg
104.132	15.640	0.012	0.199	0.001	16.140	0.092	ch1	reg
104.215	15.310	0.011	0.196	0.001	15.990	0.045	ch1	reg
104.299	16.210	0.009	0.195	0	16.300	0.030	ch1	reg
104.382	18.490	0.007	0.196	0	17.640	0.231	ch1	reg
104.465	26.640	0.053	0.192	0.001	21.230	0.319	ch1	reg
104.549	30.560	0.042	0.192	0	23.610	0.135	ch1	reg
104.632	29.220	0.06	0.189	0.001	23.910	0.058	ch1	reg
104.715	26.080	0.041	0.186	0.002	22.950	0.147	ch1	reg
104.799	19.590	0.004	0.184	0.002	20.600	0.116	ch1	reg
104.882	17.880	0.011	0.274	0.089	18.760	0.559	ch1	reg
105.132	18.150	0.006	0.359	0.003	18.600	0.021	ch1	reg
105.215	17.190	0.003	0.342	0.002	18.090	0.100	ch1	reg
105.299	16.240	0.01	0.338	0.001	18.400	0.000	ch1	reg
105.382	19.430	0.005	0.435	0.001	18.070	0.095	ch1	reg
105.465	20.450	0.017	0.437	0	17.530	0.074	ch1	reg
105.549	20.130	0.015	0.404	0.002	18.690	0.125	ch1	reg
105.632	22.530	0.012	0.394	0.001	19.500	0.033	ch1	reg
105.715	21.750	0.016	0.386	0.002	19.780	0.101	ch1	reg
105.799	20.360	0.011	0.382	0.001	20.910	0.131	ch1	reg
105.882	19.890	0.009	0.377	0.002	20.920	0.077	ch1	reg
105.965	19.360	0.009	0.374	0	20.250	0.086	ch1	reg
106.049	19.420	0.011	0.373	0.001	19.810	0.099	ch1	reg
106.132	18.710	0.027	0.37	0.002	19.500	0.015	ch1	reg
106.215	15.610	0.001	0.367	0	19.500	0.023	ch1	reg
106.299	13.700	0.017	0.392	0.036	18.990	0.337	ch1	reg
106.382	15.630	0.003	0.444	0.001	17.420	0.147	ch1	reg
106.465	16.220	0.006	0.446	0	16.600	0.100	ch1	reg
106.549	21.540	0.027	0.422	0.002	17.200	0.005	ch1	reg
106.632	19.850	0.027	0.399	0.001	17.550	0.089	ch1	reg
106.715	18.130	0.01	0.391	0.001	19.020	0.097	ch1	reg
106.799	15.500	0.007	0.382	0.001	18.920	0.059	ch1	reg
106.882	12.500	0.012	0.379	0.002	18.590	0.052	ch1	reg
106.965	10.820	0.024	0.373	0	17.070	0.138	ch1	reg
107.049	9.550	0.025	0.372	0	15.550	0.118	ch1	reg
107.132	9.080	0.022	0.368	0	14.410	0.119	ch1	reg
107.215	7.428	0.034	0.367	0.001	13.350	0.050	ch1	reg
107.299	7.106	0.024	0.365	0	12.730	0.047	ch1	reg
107.382	11.800	0.014	0.364	0.002	11.630	0.046	ch1	reg
107.465	20.680	0.051	0.364	0	11.190	0.074	ch1	reg
107.549	24.360	0.049	0.364	0	12.870	0.221	ch1	reg
107.632	23.770	0.078	0.362	0.002	17.110	0.111	ch1	reg
107.715	19.000	0.033	0.356	0.001	18.490	0.167	ch1	reg
